,% start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev.1,min.1,max.1,priority
504,12.0,12.25,1,5,5,3,25,26400,30,31680,0.000923213,0.000340058,0.000635713,0.00140357,1056,0,1056,1056,medium
505,12.0,12.25,1,6,6,3,50,26450,50,26450,0.000688927,4.1838e-05,0.00065357,0.000742855,529,138391,392,666,low
506,12.0,12.25,1,7,7,3,25,26400,25,26400,0.000742141,3.11347e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
507,12.0,12.25,1,8,8,3,25,26400,25,26400,0.000759998,3.11347e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
508,12.0,12.25,1,9,9,3,25,26400,26,27456,0.000843816,0.000237705,0.000724998,0.00165357,1056,0,1056,1056,high
509,12.0,12.25,1,10,10,3,25,26400,25,26400,0.000795712,3.11347e-05,0.000742855,0.000814283,1056,0,1056,1056,high
510,12.25,12.5,1,1,1,3,25,26400,25,26400,0.000665713,5.44858e-05,0.000635713,0.000760712,1056,0,1056,1056,high
511,12.25,12.5,1,2,2,3,25,26400,25,26400,0.00068357,5.44858e-05,0.00065357,0.000778569,1056,0,1056,1056,low
512,12.25,12.5,1,3,3,3,25,26400,25,26400,0.000701427,5.44858e-05,0.000671427,0.000796426,1056,0,1056,1056,low
513,12.25,12.5,1,4,4,3,25,26400,25,26400,0.000719284,5.44858e-05,0.000689284,0.000814283,1056,0,1056,1056,low
514,12.25,12.5,1,5,5,3,25,26400,28,29568,0.000841708,0.000295328,0.000635713,0.00140357,1056,0,1056,1056,medium
515,12.25,12.5,1,6,6,3,50,26450,50,26450,0.000689641,4.24556e-05,0.00065357,0.000742855,529,138391,392,666,low
516,12.25,12.5,1,7,7,3,25,26400,25,26400,0.000743569,3.11347e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
517,12.25,12.5,1,8,8,3,25,26400,25,26400,0.000761426,3.11347e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
518,12.25,12.5,1,9,9,3,25,26400,26,27456,0.00084519,0.000237309,0.000724998,0.00165357,1056,0,1056,1056,high
519,12.25,12.5,1,10,10,3,25,26400,25,26400,0.00079714,3.11347e-05,0.000742855,0.000814283,1056,0,1056,1056,high
520,12.5,12.75,1,1,1,3,25,26400,25,26400,0.000640713,2.49998e-05,0.000635713,0.000760712,1056,0,1056,1056,high
521,12.5,12.75,1,2,2,3,25,26400,25,26400,0.00065857,2.49998e-05,0.00065357,0.000778569,1056,0,1056,1056,low
522,12.5,12.75,1,3,3,3,25,26400,25,26400,0.000676427,2.49998e-05,0.000671427,0.000796426,1056,0,1056,1056,low
523,12.5,12.75,1,4,4,3,25,26400,25,26400,0.000694284,2.49998e-05,0.000689284,0.000814283,1056,0,1056,1056,low
524,12.5,12.75,1,5,5,3,25,26400,25,26400,0.000704284,1.42856e-05,0.000635713,0.000707141,1056,0,1056,1056,medium
525,12.5,12.75,1,6,6,3,50,26450,50,26450,0.000696784,4.47829e-05,0.00065357,0.000742855,529,138391,392,666,low
526,12.5,12.75,1,7,7,3,25,26400,25,26400,0.000757855,1.42856e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
527,12.5,12.75,1,8,8,3,25,26400,25,26400,0.000775712,1.42856e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
528,12.5,12.75,1,9,9,3,25,26400,25,26400,0.000793569,1.42856e-05,0.000724998,0.000796426,1056,0,1056,1056,high
529,12.5,12.75,1,10,10,3,25,26400,25,26400,0.000811426,1.42856e-05,0.000742855,0.000814283,1056,0,1056,1056,high
530,12.75,13.0,1,1,1,3,25,26400,25,26400,0.000655713,4.67703e-05,0.000635713,0.000760712,1056,0,1056,1056,high
531,12.75,13.0,1,2,2,3,25,26400,25,26400,0.00067357,4.67703e-05,0.00065357,0.000778569,1056,0,1056,1056,low
532,12.75,13.0,1,3,3,3,25,26400,25,26400,0.000691427,4.67703e-05,0.000671427,0.000796426,1056,0,1056,1056,low
533,12.75,13.0,1,4,4,3,25,26400,25,26400,0.000709284,4.67703e-05,0.000689284,0.000814283,1056,0,1056,1056,low
534,12.75,13.0,1,5,5,3,25,26400,26,27456,0.000749037,0.000191859,0.000635713,0.00140357,1056,0,1056,1056,medium
535,12.75,13.0,1,6,6,3,50,26450,50,26450,0.000692498,4.35452e-05,0.00065357,0.000742855,529,138391,392,666,low
536,12.75,13.0,1,7,7,3,25,26400,25,26400,0.000749284,2.67259e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
537,12.75,13.0,1,8,8,3,25,26400,25,26400,0.000767141,2.67259e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
538,12.75,13.0,1,9,9,3,25,26400,26,27456,0.000834201,0.000166624,0.000724998,0.00140357,1056,0,1056,1056,high
539,12.75,13.0,1,10,10,3,25,26400,25,26400,0.000802855,2.67259e-05,0.000742855,0.000814283,1056,0,1056,1056,high
540,13.0,13.25,1,1,1,3,25,26400,25,26400,0.000657141,5.05072e-05,0.000635713,0.000796426,1056,0,1056,1056,high
541,13.0,13.25,1,2,2,3,25,26400,25,26400,0.000674998,5.05072e-05,0.00065357,0.000814283,1056,0,1056,1056,low
542,13.0,13.25,1,3,3,3,25,26400,26,27456,0.000740108,0.000197154,0.000635713,0.00140357,1056,0,1056,1056,low
543,13.0,13.25,1,4,4,3,25,26400,25,26400,0.000702855,4.25956e-05,0.00065357,0.000814283,1056,0,1056,1056,low
544,13.0,13.25,1,5,5,3,25,26400,28,29568,0.000845534,0.000292924,0.000635713,0.00140357,1056,0,1056,1056,medium
545,13.0,13.25,1,6,6,3,50,26450,50,26450,0.000693213,4.34854e-05,0.00065357,0.000742855,529,138391,392,666,low
546,13.0,13.25,1,7,7,3,25,26400,25,26400,0.000750712,2.42224e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
547,13.0,13.25,1,8,8,3,25,26400,25,26400,0.000768569,2.42224e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
548,13.0,13.25,1,9,9,3,25,26400,27,28512,0.000912828,0.000311877,0.000724998,0.00165357,1056,0,1056,1056,high
549,13.0,13.25,1,10,10,3,25,26400,25,26400,0.000804283,2.42224e-05,0.000742855,0.000814283,1056,0,1056,1056,high
550,13.25,13.5,1,1,1,3,25,26400,25,26400,0.000650713,4.14575e-05,0.000635713,0.000760712,1056,0,1056,1056,high
551,13.25,13.5,1,2,2,3,25,26400,25,26400,0.00066857,4.14575e-05,0.00065357,0.000778569,1056,0,1056,1056,low
552,13.25,13.5,1,3,3,3,25,26400,25,26400,0.000686427,4.14575e-05,0.000671427,0.000796426,1056,0,1056,1056,low
553,13.25,13.5,1,4,4,3,25,26400,25,26400,0.000704284,4.14575e-05,0.000689284,0.000814283,1056,0,1056,1056,low
554,13.25,13.5,1,5,5,3,25,26400,26,27456,0.000751784,0.000190679,0.000635713,0.00140357,1056,0,1056,1056,medium
555,13.25,13.5,1,6,6,3,50,26450,50,26450,0.000693927,4.4009e-05,0.00065357,0.000742855,529,138391,392,666,low
556,13.25,13.5,1,7,7,3,25,26400,25,26400,0.000752141,"0,02369",0.000689284,0.000760712,1056,0,1056,1056,medium
557,13.25,13.5,1,8,8,3,25,26400,25,26400,0.000769998,"0,02369",0.000707141,0.000778569,1056,0,1056,1056,medium
558,13.25,13.5,1,9,9,3,25,26400,26,27456,0.000853432,0.000234087,0.000724998,0.00165357,1056,0,1056,1056,high
559,13.25,13.5,1,10,10,3,25,26400,25,26400,0.000805712,"0,02369",0.000742855,0.000814283,1056,0,1056,1056,high
560,13.5,13.75,1,1,1,3,25,26400,25,26400,0.000655713,4.67703e-05,0.000635713,0.000760712,1056,0,1056,1056,high
561,13.5,13.75,1,2,2,3,25,26400,25,26400,0.00067357,4.67703e-05,0.00065357,0.000778569,1056,0,1056,1056,low
562,13.5,13.75,1,3,3,3,25,26400,25,26400,0.000691427,4.67703e-05,0.000671427,0.000796426,1056,0,1056,1056,low
